"City","State","2010 Census","2000 Census","Change","2010 land area","2010 land area","2010 population density","2010 population density","ANSI","Location"
"Paradise","Nevada","223,167","186,070","+19.94%","46.717 sq mi","120.996 km2","4,777/sq mi","1,844/km2","02409023","36°04′51″N 115°08′12″W﻿ / ﻿36.08073°N 115.1368°W﻿ / 36.08073; -115.1368﻿ (Paradise)"
"Arlington","Virginia","207,627","189,453","+9.59%","25.98 sq mi","67.288 km2","7,992/sq mi","3,086/km2","","38°52′48″N 77°10′59″W﻿ / ﻿38.880°N 77.183°W﻿ / 38.880; -77.183﻿ (Arlington)"
"Sunrise Manor","Nevada","189,372","156,120","+21.30%","33.352 sq mi","86.381 km2","5,678/sq mi","2,192/km2","02410035","36°10′43″N 115°02′56″W﻿ / ﻿36.1785°N 115.0490°W﻿ / 36.1785; -115.0490﻿ (Sunrise Manor)"
"Spring Valley","Nevada","178,395","117,390","+51.97%","33.226 sq mi","86.055 km2","5,369/sq mi","2,073/km2","02408797","36°05′55″N 115°15′43″W﻿ / ﻿36.0987°N 115.2619°W﻿ / 36.0987; -115.2619﻿ (Spring Valley)"
"Metairie","Louisiana","138,481","146,136","−5.24%","23.222 sq mi","60.145 km2","5,963/sq mi","2,302/km2","02403282","29°59′52″N 90°10′40″W﻿ / ﻿29.9978°N 90.1779°W﻿ / 29.9978; -90.1779﻿ (Metairie)"
"East Los Angeles","California","126,496","124,283","+1.78%","7.448 sq mi","19.290 km2","16,984/sq mi","6,558/km2","02408711","34°01′53″N 118°10′07″W﻿ / ﻿34.0315°N 118.1686°W﻿ / 34.0315; -118.1686﻿ (East Los Angeles)"
"Enterprise","Nevada","108,481","14,676","+639.17%","46.513 sq mi","120.468 km2","2,332/sq mi","900/km2","02408084","36°01′06″N 115°12′55″W﻿ / ﻿36.0182°N 115.2154°W﻿ / 36.0182; -115.2154﻿ (Enterprise)"
"Brandon","Florida","103,483","77,895","+32.85%","33.101 sq mi","85.731 km2","3,126/sq mi","1,207/km2","02402711","27°56′10″N 82°17′57″W﻿ / ﻿27.9360°N 82.2993°W﻿ / 27.9360; -82.2993﻿ (Brandon)"
